Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
DET,"Gerrit Cole, SP NYY",3,20,16,22,22,,,1
DET,"Aroldis Chapman, RP NYY",1,5,,,,,,1
DET,"Matt Barnes, RP BOS",1,5,,,,,,1
DET,"DJ LeMahieu, IF NYY",3,4.75,,,,,,1
DET,"Josh Donaldson, 3B NYY",2,7,6,8,,,,1
DET,"Anthony Rizzo, 1B NYY",1,5,,,,,,1
DET,"Jameson Taillon, SP NYY",3,2,,,,,,1
DET,"Andrew Kittredge, RP TB",1,3.5,,,,,,1
DET,"Nestor Cortes, SP NYY",1,0.75,,,,,,1
DET,"Corey Kluber, SP TB",1,2,,,,,,1
DET,"Nathan Eovaldi, SP BOS",1,2.5,,,,,,1
NYY,"Christian Vazquez, C BOS",2,1,,,,,,2
NYY,"Anthony Rizzo, 1B NYY",2,5,,,,,,2
NYY,"Ji-Man Choi, 1B TB",1,1.1,,,,,,2
NYY,"Anthony Sandander, OF BAL",1,2.25,,,,,,2
NYY,"Jackie Bradley Jr, OF BOS",1,1,,,,,,2
NYY,"Rich Hill, SP BOS",1,1.1,,,,,,2
NYY,"Nestor Cortes, SP NYY",2,3.5,,,,,,2
NYY,"Jameson Taillon, SP NYY",2,2,,,,,,2
NYY,"Hyun-jin Ryu, SP TOR",2,5.5,,,,,,2
TB,"Anthony Rizzo, 1B NYY",1,5.2,,,,,,3
TB,"Anthony Sandander, OF BAL",2,2.33,,,,,,3
TB,"Gerrit Cole, SP NYY",2,16,,,,,,3
TB,"Hyun-jin Ryu, SP TOR",1,6.5,,,,,,3
TB,"Corey Kluber, SP TB",1,3.95,,,,,,3
TB,"Andrew Kittredge, RP TB",1,3.67,,,,,,3
TB,"Matt Barnes, RP BOS",2,4,,,,,,3
ARZ,"Gerrit Cole, SP NYY",1,10,,,,,,4
ARZ,"Aroldis Chapman, RP NYY",1,7.1,,,,,,4
ARZ,"Nathan Eovaldi, SP BOS",1,5.1,,,,,,4
ARZ,"Andrew Kittredge, RP TB",1,2.1,,,,,,4
ARZ,"Hyun-jin Ryu, SP TOR",1,4,,,,,,4
ARZ,"Nestor Cortes, SP NYY",1,2.5,,,,,,4
ARZ,"Matt Barnes, RP BOS",1,2.1,,,,,,4
ARZ,"Corey Kluber, SP TB",1,3,,,,,,4
ARZ,"Jameson Taillon, SP NYY",2,3.5,,,,,,4
ARZ,"JT Chargois, RP TB",1,0.55,,,,,,4
ARZ,"Ross Stripling, SP TOR",1,1.2,,,,,,4
ARZ,"Matt Wisler, RP TB",1,0.5,,,,,,4
