[b]PIT[/b]
Ryan Thompson, RP TB, 1 year at 0.61 per year

[b]TB[/b]
Cionel Perez, RP BAL, 2 years at 1.75 per year
Michael King, RP NYY, 4 years at 2.50 per year
Jose Trevino, C NYY, 2 years at 0.75 per year
Nick Pivetta, SP BOS, 3 years at 3.50 per year

[b]CLE[/b]
Adalberto Mondesi, SS BOS, 3 years at 2.77 per year
Brandon Belt, 1B TOR, 1 year at 0.73 per year
Jalen Beeks, RP TB, 1 year at 0.55 per year
Garrett Cleavinger, RP TB, 2 years at 0.44 per year

[b]DET[/b]
Josh Donaldson, 3B NYY, 1 year at 2.75 per year

[b]LAD[/b]
Michael Baumann, SP BAL, 5 years at 0.40 per year
Hyun-Jin Ryu, SP TOR, 2 years at 0.70 per year
Dillon Tate, RP BAL, 3 years at 0.40 per year
Keegan Akin, RP BAL, 5 years at 0.40 per year
Bryan Baker, RP BAL, 5 years at 0.40 per year

[b]ARZ[/b]
Masataka Yoshida, OF BOS, 1 year at 5.60 per year
James Paxton, SP BOS, 2 years at 2.00 per year
Domingo German, SP NYY, 1 year at 2.00 per year
Yusei Kikuchi, SP TOR, 3 years at 2.55 per year
Mitch White, SP TOR, 1 year at 0.40 per year

[b]NYM[/b]
Peter Fairbanks, RP TB, 1 year at 5.60 per year
Austin Voth, SP BAL, 1 year at 0.41 per year

[b]KC[/b]
Corey Kluber, SP BOS, 1 year at 2.52 per year
Adam Duvall, OF BOS, 1 year at 2.02 per year
Erik Swanson, RP TOR, 1 year at 2.02 per year
Chris Martin, RP BOS, 1 year at 2.02 per year
Reese McGuire, C BOS, 1 year at 2.02 per year

[b]ATL[/b]
Kyle Gibson, SP BAL, 1 year at 3.75 per year
Harold Ramirez, 1B/OF TB, 1 year at 1.50 per year
Tommy Kahnle, RP NYY, 1 year at 1.50 per year

[b]BOS[/b]
Drew Rasmussen, SP TB, 2 years at 6.93 per year (5.58, 8.28)
Kenley Jansen, RP BOS, 2 years at 8.08 per year (6.59, 9.58)
George Springer, OF TOR, 2 years at 10.57 per year (8.85, 12.56)

[b]NYY[/b]
Enrique Hernandez, OF BOS, 1 year at 0.85 per year

[b]PHI[/b]
Anthony Santander, OF BAL, 2 years at 6.50 per year
Tim Mayza, RP TOR, 2 years at 0.43 per year

[b]OAK[/b]
Frankie Montas, SP NYY, 3 years at 3.08 per year

[b]WAS[/b]
Jose Berrios, SP TOR, 4 years at 6.50 per year (7.00, 7.00, 6.00, 6.00)
Whit Merrifield, 2B/OF TOR, 1 year at 8.00 per year
Mychal Givens, RP BAL, 1 year at 0.50 per year

[b]SD[/b]
Christian Arroyo, 2B BOS, 1 year at 0.73 per year
Ramon Urias, 3B BAL, 1 year at 0.43 per year

[b]TOR[/b]
Jason Adam, RP TB, 2 years at 2.10 per year

