[b]PIT[/b]
Alec Marsh, SP KC, 4 years at 0.41 per year

[b]BOS[/b]
Alejandro Kirk, C TOR, 4 years at 0.51 per year

[b]CHC[/b]
Eddie Rosario, OF WAS, 1 year at 0.45 per year

[b]LAD[/b]
Albert Suarez, SP BAL, 2 years at 0.40 per year

[b]SEA[/b]
Elvis Peguero, RP MIL, 1 year at 0.40 per year
Steven Wilson, RP SD, 1 year at 0.40 per year

[b]TOR[/b]
Jake Irvin, SP WAS, 3 years at 3.40 per year

[b]TB[/b]
Roansy Contreras, SP PIT, 5 years at 0.40 per year
Jason Heyward, OF LAD, 1 year at 0.40 per year
Charlie Blackmon, OF COL, 1 year at 0.47 per year

[b]SD[/b]
Kyle Mueller, SP OAK, 1 year at 0.44 per year
Luke Raley, OF SEA, 1 year at 0.44 per year

[b]PHI[/b]
Tim Mayza, RP TOR, 2 years at 0.42 per year
Drew Smith, RP NYM, 2 years at 0.42 per year

