Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,Sum Match,Max Check,Min Check,Text Order,,,,,,,,,,,
WAS,"Dellin Betances, RP NYM",3,2,,,,,,#VALUE!,,,,18,,,,,,,,,,,
ARZ,"Dellin Betances, RP NYM",1,1.8,,,,,,#VALUE!,,,,2,,,,,,,,,,,
CLE,"Dellin Betances, RP NYM",2,1.35,,,,,,#VALUE!,,,,10,,,,,,,,,,,
BOS,"Dellin Betances, RP NYM",2,1.07,,,,,,#VALUE!,,,,6,,,,,,,,,,,
PIT,"Dellin Betances, RP NYM",1,0.51,,,,,,#VALUE!,,,,9,,,,,,,,,,,
ATL,"Felix Hernandez, SP ATL",1,0.4,,,,,,#VALUE!,,,,7,,,,,,,,,,,
TB,"Garrett Cooper, 1B MIA",4,0.5,,,,,,#VALUE!,,,,3,,1.020408163,0.50,0.49,2.04%,,"Garrett Cooper, 1B MIA: 2.04% (0.50 vs. 0.49)",,,,
BOS,"Garrett Cooper, 1B MIA",2,0.49,,,,,,#VALUE!,,,,6,,,,,,,,,,,
TB,"Howie Kendrick, 1B WAS",1,0.76,,,,,,#VALUE!,,,,3,,,,,,,,,,,
KC,"Jake Arrieta, SP PHI",1,2.05,,,,,,#VALUE!,,,,19,,1.576923077,2.05,1.30,57.69%,,"Jake Arrieta, SP PHI: 57.69% (2.05 vs. 1.30)",,,,
ARZ,"Jake Arrieta, SP PHI",1,1.3,,,,,,#VALUE!,,,,2,,,,,,,,,,,
NYM,"Jake Arrieta, SP PHI",1,0.6,,,,,,#VALUE!,,,,11,,,,,,,,,,,
TB,"Jake Arrieta, SP PHI",1,0.5,,,,,,#VALUE!,,,,3,,,,,,,,,,,
TOR,"Jean Segura, SS PHI",1,5.1,,,,,,#VALUE!,,,,14,,1.186046512,5.10,4.30,18.60%,,"Jean Segura, SS PHI: 18.60% (5.10 vs. 4.30)",,,,
BAL,"Jean Segura, SS PHI",1,4.3,,,,,,#VALUE!,,,,20,,,,,,,,,,,
NYM,"Jean Segura, SS PHI",1,3.5,,,,,,#VALUE!,,,,11,,,,,,,,,,,
OAK,"Jean Segura, SS PHI",1,2.76,,,,,,#VALUE!,,,,15,,,,,,,,,,,
DET,"Jean Segura, SS PHI",1,2,,,,,,#VALUE!,,,,1,,,,,,,,,,,
TB,"Jean Segura, SS PHI",2,2,1.75,2.25,,,,#VALUE!,0,0,0,3,,,,,,,,,,,
BOS,"Jean Segura, SS PHI",1,1.79,,,,,,#VALUE!,,,,6,,,,,,,,,,,
PHI,"Jean Segura, SS PHI",1,1.5,,,,,,#VALUE!,,,,5,,,,,,,,,,,
ATL,"Jesus Aguilar, 1B MIA",1,0.94,,,,,,#VALUE!,,,,7,,1.342857143,0.94,0.70,34.29%,,"Jesus Aguilar, 1B MIA: 34.29% (0.94 vs. 0.70)",,,,
NYM,"Jesus Aguilar, 1B MIA",5,0.7,,,,,,#VALUE!,,,,11,,,,,,,,,,,
BOS,"Jesus Aguilar, 1B MIA",3,0.69,,,,,,#VALUE!,,,,6,,,,,,,,,,,
CLE,"Jesus Aguilar, 1B MIA",2,0.45,,,,,,#VALUE!,,,,10,,,,,,,,,,,
WAS,"Jeurys Familia, RP NYM",2,1,,,,,,#VALUE!,,,,18,,1.333333333,1.00,0.75,33.33%,,"Jeurys Familia, RP NYM: 33.33% (1.00 vs. 0.75)",,,,
NYM,"Jeurys Familia, RP NYM",3,0.75,,,,,,#VALUE!,,,,11,,,,,,,,,,,
PIT,"Jonathan Villar, 2B MIA",1,13.81,,,,,,#VALUE!,,,,9,,1.022962963,13.81,13.50,2.30%,,"Jonathan Villar, 2B MIA: 2.30% (13.81 vs. 13.50)",,,,
ARZ,"Jonathan Villar, 2B MIA",1,13.5,,,,,,#VALUE!,,,,2,,,,,,,,,,,
ATL,"Jonathan Villar, 2B MIA",1,9.75,,,,,,#VALUE!,,,,7,,,,,,,,,,,
NYM,"Jonathan Villar, 2B MIA",1,8.1,,,,,,#VALUE!,,,,11,,,,,,,,,,,
CLE,"Jonathan Villar, 2B MIA",1,7.9,,,,,,#VALUE!,,,,10,,,,,,,,,,,
TOR,"Jonathan Villar, 2B MIA",2,7.4,8.5,6.3,,,,#VALUE!,0,0,0,14,,,,,,,,,,,
BOS,"Jonathan Villar, 2B MIA",2,4.88,4.7,5.06,,,,#VALUE!,0,0,0,6,,,,,,,,,,,
OAK,"Jonathan Villar, 2B MIA",1,3.89,,,,,,#VALUE!,,,,15,,,,,,,,,,,
LAD,"Jonathan Villar, 2B MIA",3,3.1,,,,,,#VALUE!,,,,12,,,,,,,,,,,
LAD,"Jonathan Villar, 2B MIA",3,2.2,,,,,,#VALUE!,,,,4,,,,,,,,,,,
PIT,"Justin Wilson, RP NYM",1,0.41,,,,,,#VALUE!,,,,17,,,,,,,,,,,
PHI,"Kurt Suzuki, C WAS",1,1.75,,,,,,#VALUE!,,,,5,,2.1875,1.75,0.80,118.75%,,"Kurt Suzuki, C WAS: 118.75% (1.75 vs. 0.80)",,,,
DET,"Kurt Suzuki, C WAS",1,0.8,,,,,,#VALUE!,,,,1,,,,,,,,,,,
NYM,"Lewis Brinson, OF MIA",5,0.75,,,,,,#VALUE!,,,,11,,,,,,,,,,,
PHI,"Marcus Stroman, SP NYM",2,8.5,,,,,,#VALUE!,,,,5,,1.287878788,8.50,6.60,28.79%,,"Marcus Stroman, SP NYM: 28.79% (8.50 vs. 6.60)",,,,
LAD,"Marcus Stroman, SP NYM",1,6.6,,,,,,#VALUE!,,,,12,,,,,,,,,,,
TOR,"Marcus Stroman, SP NYM",2,6.6,7.8,5.4,,,,#VALUE!,0,0,0,14,,,,,,,,,,,
LAD,"Marcus Stroman, SP NYM",1,6.3,,,,,,#VALUE!,,,,4,,,,,,,,,,,
ATL,"Marcus Stroman, SP NYM",3,6,5,6,7,,,#VALUE!,0,0,0,7,,,,,,,,,,,
PIT,"Marcus Stroman, SP NYM",2,5.81,,,,,,#VALUE!,,,,9,,,,,,,,,,,
SD,"Marcus Stroman, SP NYM",3,4.77,,,,,,#VALUE!,,,,13,,,,,,,,,,,
BOS,"Marcus Stroman, SP NYM",2,4.19,,,,,,#VALUE!,,,,6,,,,,,,,,,,
KC,"Marcus Stroman, SP NYM",1,4.05,,,,,,#VALUE!,,,,19,,,,,,,,,,,
WAS,"Marcus Stroman, SP NYM",2,4,,,,,,#VALUE!,,,,18,,,,,,,,,,,
CLE,"Marcus Stroman, SP NYM",1,3.9,,,,,,#VALUE!,,,,10,,,,,,,,,,,
OAK,"Marcus Stroman, SP NYM",4,3.89,,,,,,#VALUE!,,,,15,,,,,,,,,,,
NYM,"Marcus Stroman, SP NYM",1,3.6,,,,,,#VALUE!,,,,11,,,,,,,,,,,
NYY,"Marcus Stroman, SP NYM",2,3.25,,,,,,#VALUE!,,,,8,,,,,,,,,,,
ARZ,"Marcus Stroman, SP NYM",1,2.6,,,,,,#VALUE!,,,,2,,,,,,,,,,,
WAS,"Matt Adams, 1B NYM",1,1,,,,,,#VALUE!,,,,18,,,,,,,,,,,
BAL,"Max Scherzer, SP WAS",1,19.7,,,,,,#VALUE!,,,,20,,1.224362958,19.70,16.09,22.44%,,"Max Scherzer, SP WAS: 22.44% (19.70 vs. 16.09)",,,,
BOS,"Max Scherzer, SP WAS",1,16.09,,,,,,#VALUE!,,,,6,,,,,,,,,,,
CLE,"Max Scherzer, SP WAS",1,15.75,,,,,,#VALUE!,,,,10,,,,,,,,,,,
OAK,"Max Scherzer, SP WAS",2,15.5,12.5,18.5,,,,#VALUE!,0,0,0,15,,,,,,,,,,,
NYM,"Max Scherzer, SP WAS",1,13,,,,,,#VALUE!,,,,11,,,,,,,,,,,
PHI,"Max Scherzer, SP WAS",1,12.5,,,,,,#VALUE!,,,,5,,,,,,,,,,,
ARZ,"Max Scherzer, SP WAS",1,10,,,,,,#VALUE!,,,,2,,,,,,,,,,,
ATL,"Max Scherzer, SP WAS",1,10,,,,,,#VALUE!,,,,7,,,,,,,,,,,
WAS,"Max Scherzer, SP WAS",1,10,,,,,,#VALUE!,,,,18,,,,,,,,,,,
TOR,"Max Scherzer, SP WAS",1,9.8,,,,,,#VALUE!,,,,14,,,,,,,,,,,
LAD,"Max Scherzer, SP WAS",1,8.7,,,,,,#VALUE!,,,,12,,,,,,,,,,,
LAD,"Max Scherzer, SP WAS",1,7.7,,,,,,#VALUE!,,,,4,,,,,,,,,,,
SD,"Max Scherzer, SP WAS",1,6.97,,,,,,#VALUE!,,,,13,,,,,,,,,,,
WAS,"Nick Markakis, OF ATL",1,0.5,,,,,,#VALUE!,,,,18,,,,,,,,,,,
